Wavelength,HER20,HER21,HER23,HER24,HER25,HER27,HER28,HER29,HER30,HER32,HER34,HER46,HER47,HER48,EEA1,EEA3,EIS1,EIS2,EIS3,ESU1,ESU2,ESU3,ETH1,ETH2,ETH3,HY+,HY-
391,2,3,2,2,3,3,2,2,2,3,3,3,1,1,3,2,2,1,2,3,3,3,2,4,2,5,0
392,2,3,2,2,3,3,2,2,2,2,3,3,1,1,3,2,2,1,2,3,3,3,2,4,2,5,0
393,2,3,2,2,3,3,2,2,2,2,3,3,1,1,3,2,2,1,2,3,3,3,2,4,3,5,0
394,2,3,2,2,3,3,2,2,2,2,3,3,1,1,3,2,2,1,2,3,3,3,3,4,3,5,1
395,2,3,2,2,3,3,2,2,2,2,3,3,1,1,3,2,2,1,2,3,3,3,3,4,3,5,1
396,2,3,2,2,3,3,2,2,2,2,3,3,1,1,3,2,2,1,2,3,3,3,3,4,3,5,1
397,2,3,2,2,3,3,2,2,2,2,3,3,1,1,3,2,2,1,2,3,3,3,3,4,3,5,1
398,2,3,2,2,3,3,2,2,2,2,3,3,1,1,3,2,2,1,2,3,3,3,3,4,3,5,2
399,2,3,2,2,3,3,2,2,2,2,3,3,1,1,3,2,2,1,2,3,3,3,3,4,3,5,2
400,2,3,2,2,3,3,2,2,2,2,3,3,1,1,3,2,2,1,2,3,3,3,3,4,3,5,2
401,2,3,2,2,3,3,2,2,2,2,3,3,1,1,3,2,2,1,2,3,3,3,3,4,3,5,3
402,2,3,2,2,3,3,2,2,2,2,3,3,1,1,3,2,2,1,2,3,3,3,3,4,3,5,3
403,2,3,2,2,3,3,2,2,2,2,3,2,1,1,3,2,2,1,2,3,3,3,3,4,3,5,4
404,2,3,2,2,3,3,2,2,2,2,3,2,1,1,3,2,2,1,2,3,3,3,3,5,3,5,5
405,2,3,2,2,3,3,2,2,2,2,3,2,1,1,3,2,2,2,2,3,4,3,3,5,3,5,5
406,2,3,2,2,3,3,2,2,2,2,3,2,1,1,3,2,2,2,2,3,4,3,3,5,3,5,6
407,2,3,2,2,3,3,2,2,2,2,3,2,1,1,3,2,2,2,2,3,4,3,3,5,3,5,7
408,2,3,2,2,3,3,2,2,2,3,3,2,1,1,3,2,2,2,3,4,4,3,3,5,3,5,8
409,2,3,2,2,3,3,2,2,2,3,3,2,1,1,3,2,2,2,3,4,4,3,4,5,3,5,9
410,2,3,2,2,3,3,2,2,2,3,3,2,1,1,3,2,2,2,3,4,4,3,4,5,3,5,10
411,2,3,2,2,3,3,2,2,2,3,3,2,1,1,3,2,2,2,3,4,4,4,4,5,3,5,11
412,2,3,2,2,3,3,2,2,2,3,3,2,1,1,3,2,3,2,3,4,4,4,4,5,4,5,11
413,2,3,2,2,4,3,2,2,2,3,3,2,1,1,3,3,3,2,3,4,4,4,4,5,4,5,12
414,2,3,2,2,4,3,2,2,2,3,3,2,1,1,4,3,3,2,3,4,4,4,4,6,4,5,13
415,2,3,2,2,4,3,2,2,2,3,3,2,1,1,4,3,3,3,3,4,5,4,5,6,4,5,14
416,2,3,2,2,4,3,2,2,2,3,3,2,1,1,4,3,3,3,3,5,5,4,5,6,4,5,15
417,2,3,2,2,4,3,2,2,2,3,3,2,1,1,4,3,3,3,3,5,5,4,5,6,4,5,16
418,2,3,2,2,4,3,2,2,2,3,3,2,1,1,4,3,3,3,3,5,5,4,5,6,4,5,16
419,2,3,2,3,4,3,3,3,2,3,3,2,1,1,4,3,3,3,4,5,5,4,5,6,5,5,17
420,2,3,2,3,4,3,3,3,2,3,3,3,1,1,5,4,4,3,4,5,5,4,6,7,5,5,17
421,2,3,2,3,4,3,3,3,2,3,3,3,1,1,5,4,4,4,4,6,6,5,6,7,5,5,18
422,2,3,2,3,4,3,3,3,3,3,3,3,1,2,5,4,4,4,4,6,6,5,6,7,5,5,18
423,2,4,2,3,4,3,3,3,3,3,3,3,1,2,5,4,4,4,4,6,6,5,6,7,5,5,19
424,2,4,2,3,4,3,3,3,3,3,3,3,1,2,6,5,4,4,4,6,6,5,7,8,6,5,19
425,3,4,2,3,4,3,3,3,3,3,4,3,2,2,6,5,4,5,4,6,6,5,7,8,6,5,20
426,3,4,2,3,4,3,3,3,3,3,4,3,2,2,6,5,5,5,5,7,7,5,7,8,6,5,20
